area_sqm,building_year,num_rooms,has_elevator,has_parking,has_storage,price(in_toman),floor_number,district
50,1393,1,Yes,No,No,3000000000,34.0,دولاب
75,1385,2,No,Yes,Yes,92933000,,جنت‌آباد جنوبی
135,1401,3,Yes,Yes,Yes,9000000000,35.0,جیحون
70,1385,2,No,Yes,Yes,5300000000,24.0,زنجان
280,1397,4,Yes,Yes,Yes,950000000000,58.0,زعفرانیه
130,1403,2,Yes,Yes,Yes,10000000000,5.0,شمس‌آباد
60,1398,2,Yes,Yes,Yes,1790000000,34.0,اندیشه (شهر زیبا)
85,1395,2,Yes,Yes,Yes,7100000000,1.0,دکتر هوشیار
280,1403,4,Yes,Yes,Yes,428571000,,سعادت‌آباد
62,1388,1,Yes,Yes,Yes,7900000000,4.0,مرزداران
160,1403,3,Yes,Yes,Yes,60000000000,77.0,سعادت‌آباد
91,1393,2,Yes,Yes,Yes,16500000000,4.0,حکمت
45,1396,1,Yes,No,No,60888000,,جی
81,1401,1,Yes,Yes,Yes,4300000000,45.0,شادآباد
115,1397,2,Yes,Yes,Yes,16100000000,45.0,مرزداران
47,1389,1,Yes,Yes,No,2800000000,34.0,گمرک
200,1402,3,Yes,Yes,Yes,175000000,,جنت‌آباد جنوبی
79,1383,2,No,Yes,Yes,7940000000,1.0,سازمان آب
105,1401,2,Yes,Yes,Yes,15500000000,45.0,مرزداران
116,1403,2,Yes,Yes,Yes,1500000000,1622.0,چیتگر
56,1387,1,Yes,Yes,Yes,3136000000,2.0,خلیج فارس
151,1398,3,Yes,Yes,Yes,1000,1016.0,کوهک
85,1388,2,Yes,Yes,Yes,10500000000,1.0,مرزداران
87,1397,2,Yes,No,Yes,5300000000,35.0,زنجان
64,1397,2,Yes,Yes,Yes,3000000000,23.0,وردآورد
57,1395,1,Yes,Yes,Yes,2600000000,34.0,بلورسازی
110,1397,2,Yes,Yes,Yes,12500000000,35.0,شاهین
102,1398,2,Yes,Yes,Yes,9950000000,35.0,سازمان برنامه
73,1400,2,Yes,Yes,Yes,1720000000,2.0,شهر زیبا
55,1400,1,Yes,Yes,Yes,1350000000,2.0,شهر زیبا
100,1402,2,Yes,Yes,Yes,13500000000,2.0,کوی فردوس
220,1388,3,Yes,Yes,Yes,34800000000,45.0,دروس
95,1403,2,Yes,Yes,Yes,3400000000,44.0,قیام‌دشت
135,1396,2,Yes,Yes,No,10000000000,1214.0,شهرک صدرا
70,1375,2,No,Yes,Yes,4700000000,2.0,شیخ هادی
108,1394,2,No,Yes,Yes,11300000000,1.0,دهکده المپیک
83,1384,2,No,Yes,Yes,7450000000,24.0,جنت‌آباد جنوبی
64,1403,1,Yes,Yes,Yes,71406000,,جیحون
165,1395,2,Yes,Yes,Yes,85000000000,48.0,الهیه
94,1397,2,Yes,Yes,Yes,9700000000,3.0,کوی بیمه
100,1403,2,Yes,Yes,Yes,8000000000,35.0,نظام‌آباد
39,1403,1,Yes,Yes,Yes,66666000,,بریانک
100,1401,2,Yes,Yes,Yes,490000000,17.0,شمیران‌نو
80,1403,2,Yes,Yes,Yes,2160000000,2020.0,چیتگر
119,1388,2,Yes,Yes,Yes,10999999999,4.0,شهران جنوبی
200,1400,3,Yes,Yes,Yes,60000000000,46.0,زعفرانیه
50,1403,1,Yes,Yes,Yes,7000000,,چیتگر
53,1383,1,No,Yes,Yes,2800000000,4.0,سلیمانی
65,1391,1,Yes,Yes,Yes,114615000,,سازمان برنامه
115,1385,2,Yes,Yes,Yes,143478000,,سعادت‌آباد
56,1392,1,Yes,Yes,Yes,4150000000,14.0,هاشمی
65,1402,2,Yes,Yes,No,7200000000,24.0,جمهوری
65,1389,1,Yes,Yes,Yes,132307000,,هروی
125,1398,2,Yes,Yes,Yes,99200000,,ارم
60,1403,1,Yes,Yes,Yes,400000000,516.0,چیتگر
80,1384,2,No,Yes,Yes,8400000000,24.0,پاتریس لومومبا
245,1387,4,Yes,Yes,Yes,37300000000,4.0,هروی
66,1388,2,No,No,Yes,4000000000,44.0,لشکر
113,1399,2,Yes,Yes,Yes,13300000000,3.0,جنت‌آباد مرکزی
224,1385,3,Yes,Yes,Yes,44352000000,35.0,زعفرانیه
175,1393,3,Yes,Yes,Yes,24300000000,4.0,هروی
155,1396,3,Yes,Yes,Yes,10800000000,5.0,دیلمان
200,1403,3,Yes,Yes,Yes,42500000000,5.0,هروی
160,1385,3,Yes,Yes,Yes,34000000000,1.0,زعفرانیه
49,1381,1,No,No,Yes,2700000000,33.0,سرآسیاب مهرآباد
92,1393,2,Yes,Yes,Yes,12500000000,45.0,مرزداران
60,1403,1,Yes,Yes,Yes,8000000000,37.0,سازمان برنامه
51,1387,1,No,No,No,2100000000,24.0,یافت‌آباد
142,1397,3,Yes,Yes,Yes,19000000000,52.0,جنت‌آباد جنوبی
182,1402,3,Yes,Yes,Yes,35000000000,35.0,گیشا (کوی نصر)
115,1403,3,Yes,Yes,Yes,18500000000,45.0,گیشا (کوی نصر)
100,1400,2,Yes,Yes,Yes,18000000000,45.0,گیشا (کوی نصر)
71,1395,2,Yes,No,Yes,4300000000,15.0,هفت چنار
91,1393,2,Yes,Yes,Yes,12000000000,35.0,جنت‌آباد جنوبی
70,1382,2,No,Yes,Yes,6300000000,24.0,ستارخان
77,1393,2,Yes,Yes,Yes,5200000000,15.0,دکتر هوشیار
135,1387,3,Yes,Yes,Yes,15700000000,25.0,جنت‌آباد جنوبی
135,1398,3,Yes,Yes,Yes,91481000,,دکتر هوشیار
46,1393,1,Yes,No,Yes,3600000000,24.0,جیحون
186,1370,4,No,No,Yes,27000000000,,پامنار
101,1398,2,Yes,Yes,Yes,109900000,,نصرت
230,1374,3,No,Yes,Yes,76521000,,جلفا
130,1400,3,Yes,Yes,Yes,21500000000,66.0,یوسف‌آباد
59,1396,1,Yes,No,Yes,3090000000,34.0,گمرک
105,1402,2,Yes,Yes,Yes,510000000,2.0,بازار
82,1395,2,Yes,Yes,Yes,10780000000,4.0,سازمان برنامه
60,1385,2,No,Yes,Yes,3850000000,44.0,دکتر هوشیار
60,1385,2,No,Yes,Yes,5500000000,14.0,سازمان برنامه
90,1387,2,No,Yes,Yes,8300000000,24.0,توحید
46,1381,1,No,No,Yes,2120000000,4.0,سلسبیل
70,1385,2,No,Yes,Yes,65714000,,تهرانپارس شرقی
74,1375,2,No,No,No,5500000000,14.0,شادمهر
60,1383,1,No,Yes,Yes,2700000000,24.0,آذری
88,1390,2,Yes,Yes,Yes,8200000000,45.0,بهاران
112,1395,2,Yes,Yes,Yes,15680000000,15.0,یوسف‌آباد
91,1403,2,Yes,Yes,Yes,1300000000,2.0,سیزده آبان
96,1395,2,Yes,Yes,Yes,51041000,,جی
43,1380,1,No,No,Yes,79534000,,آذربایجان
60,1396,1,Yes,Yes,Yes,48333000,,زهتابی
100,1403,2,Yes,Yes,Yes,490000000,37.0,دولت‌آباد
67,1392,1,Yes,Yes,Yes,2850000000,3.0,مسعودیه
138,1393,3,Yes,Yes,Yes,19000000000,55.0,شهر زیبا
57,1394,1,Yes,No,Yes,3100000000,44.0,کوثر
63,1381,1,No,Yes,No,2950000000,1.0,ظهیرآباد
46,1386,1,Yes,No,Yes,65217000,,منیریه
63,1402,2,Yes,Yes,Yes,10500000000,45.0,مرزداران
66,1385,2,No,Yes,Yes,7200000000,14.0,پونک
84,1384,2,Yes,Yes,No,6500000000,2.0,شهر زیبا
50,1392,1,No,Yes,Yes,4000000000,2.0,ائمه اطهار
52,1385,1,No,Yes,Yes,2600000000,34.0,نواب
100,1401,2,Yes,Yes,Yes,510000000,1.0,افسریه
79,1388,2,Yes,Yes,Yes,121518000,,سیدخندان
102,1383,2,No,Yes,Yes,7500000000,14.0,حکیمیه
120,1403,3,Yes,Yes,Yes,233333000,,نیاوران
110,1403,2,Yes,Yes,Yes,5150000000,17.0,چیتگر
105,1402,2,Yes,Yes,No,490000000,2.0,شهرک محلاتی
87,1395,2,Yes,Yes,Yes,8450000000,15.0,استاد معین
115,1390,2,Yes,Yes,Yes,12200000000,14.0,پاتریس لومومبا
110,1403,2,Yes,Yes,Yes,500000000,3.0,دولت‌آباد
113,1395,2,Yes,Yes,Yes,9400000000,35.0,استاد معین
117,1403,2,Yes,Yes,Yes,19234000000,34.0,سیدخندان
48,1403,1,Yes,Yes,Yes,97916000,,استاد معین
47,1395,1,Yes,No,Yes,57021000,,فلاح
60,1400,1,Yes,Yes,Yes,1700000000,1.0,اندیشه (شهر زیبا)
162,1403,3,Yes,Yes,Yes,23000000000,23.0,کوهک
55,1397,2,Yes,Yes,Yes,1300000000,2.0,شهر زیبا
107,1403,2,Yes,No,Yes,490000000,3.0,دولت‌آباد
42,1383,1,No,No,Yes,2800000000,2.0,سلسبیل
45,1393,1,No,Yes,Yes,3350000000,2.0,سبلان
86,1385,2,No,Yes,Yes,98255000,,جنت‌آباد مرکزی
80,1403,2,Yes,Yes,Yes,12180000000,5.0,شهران جنوبی
100,1403,2,Yes,Yes,Yes,1800000000,1420.0,چیتگر
87,1402,2,Yes,Yes,Yes,2050000000,314.0,پیروزی
130,1394,3,Yes,Yes,Yes,63076000,,زنجان
150,1403,3,Yes,Yes,Yes,24000000000,2.0,سیدخندان
110,1398,2,Yes,Yes,Yes,21500000000,24.0,سعادت‌آباد
110,1400,2,Yes,Yes,Yes,510000000,4.0,تهرانپارس شرقی
100,1397,2,Yes,Yes,Yes,62000000,,هفت چنار
97,1392,3,Yes,Yes,Yes,13200000000,1.0,مرزداران
320,1403,3,Yes,Yes,Yes,111111,11.0,زعفرانیه
101,1399,2,Yes,Yes,Yes,5650000000,15.0,جی
53,1401,1,Yes,Yes,Yes,2400000000,24.0,آذربایجان
37,1383,1,No,No,Yes,2550000000,2.0,تسلیحات
80,1390,2,Yes,Yes,Yes,8800000000,35.0,دریان‌نو
140,1394,3,Yes,Yes,Yes,8200000000,25.0,شهرک کیانشهر
120,1403,3,Yes,Yes,Yes,1200000000,1015.0,چیتگر
105,1385,3,Yes,Yes,Yes,171428000,,اختیاریه
55,1393,1,No,Yes,Yes,3290000000,2.0,سبلان
57,1403,1,Yes,Yes,No,6670000000,24.0,پیروزی
44,1380,1,No,Yes,Yes,79545000,,سلسبیل
41,1390,1,Yes,Yes,Yes,78536000,,خواجه نظام الملک
43,1385,1,No,No,No,3000000000,23.0,جیحون
95,1402,2,Yes,Yes,Yes,14500000000,3.0,پونک
52,1403,1,Yes,No,Yes,2800000000,55.0,امام سجاد(ع)
58,1382,2,No,No,No,2750000000,24.0,آذری
44,1394,1,No,Yes,Yes,69318000,,زرکش
110,1403,2,Yes,Yes,Yes,500000000,3.0,نارمک جنوبی
60,1403,1,Yes,Yes,Yes,1350000000,2.0,اندیشه (شهر زیبا)
75,1384,2,No,No,Yes,3600000000,24.0,شهرک دانشگاه تهران
56,1384,1,No,No,Yes,4220000000,4.0,باغ فیض
90,1403,2,Yes,Yes,Yes,96666000,,خواجه نظام الملک
110,1380,2,No,Yes,Yes,8150000000,24.0,پاتریس لومومبا
55,1399,1,Yes,Yes,Yes,41818000,,جیحون
66,1403,1,Yes,Yes,Yes,7000000000,34.0,زنجان
176,1395,3,Yes,Yes,Yes,43000000000,3.0,زعفرانیه
89,1389,2,Yes,Yes,Yes,8600000000,3.0,سازمان برنامه
45,1383,1,Yes,Yes,Yes,2160000000,2.0,مشیریه
69,1380,2,No,Yes,Yes,4850000000000,24.0,طوس
50,1390,1,No,No,Yes,79000000,,تهران‌نو
34,1378,1,No,No,No,2480000000,4.0,سلسبیل
75,1403,2,Yes,Yes,Yes,4800000,34.0,دولت‌آباد
46,1381,1,No,Yes,Yes,260000000,24.0,مشیریه
56,1387,1,Yes,Yes,Yes,4050000000,25.0,استاد معین
50,1396,1,Yes,Yes,Yes,1280000000,44.0,شهر زیبا
40,1386,1,No,No,No,2600000000,23.0,هاشمی
63,1379,1,No,No,Yes,5830000000,33.0,فاطمی
50,1390,1,No,No,Yes,59000000,,بریانک
55,1386,1,No,Yes,No,3900000000,24.0,آذربایجان
58,1380,2,No,No,Yes,44655000,,سلیمانی
58,1402,1,Yes,Yes,Yes,350000000,821.0,چیتگر
76,1388,1,Yes,Yes,Yes,5600000000,1.0,تهرانپارس شرقی
93,1402,2,Yes,Yes,Yes,15810000000,2.0,شهرآرا
315,1380,4,Yes,Yes,Yes,70000000000,5.0,جماران
50,1397,1,Yes,Yes,Yes,2060000000,4.0,اندیشه (شهر زیبا)
55,1402,1,Yes,Yes,Yes,40000000,,شهرک شریعتی
105,1402,2,Yes,Yes,Yes,10000000000,33.0,سرو آزاد
55,1385,1,Yes,Yes,Yes,6300000000,25.0,سازمان برنامه
154,1401,3,Yes,Yes,Yes,13100000000,45.0,شهرک ولیعصر
164,1394,3,Yes,Yes,Yes,30000000000,6.0,آجودانیه
117,1403,2,Yes,Yes,Yes,11100000000,13.0,چیتگر
47,1393,1,Yes,No,Yes,58510000,,جیحون
60,1399,2,No,Yes,Yes,1850000000,2.0,اندیشه (شهر زیبا)
95,1401,2,Yes,Yes,Yes,113684000,,جنت‌آباد مرکزی
118,1402,2,Yes,Yes,Yes,3304000000,3.0,مبارک‌آباد بهشتی
74,1391,2,Yes,Yes,Yes,65540000,,جیحون
75,1392,2,Yes,Yes,Yes,8600000000,2.0,سازمان برنامه
71,1394,1,Yes,Yes,No,3160000000,55.0,فلاح
66,1391,1,Yes,Yes,No,3160000000,35.0,جلیلی
70,1395,2,Yes,Yes,Yes,4800000000,44.0,افسریه
120,1402,3,Yes,Yes,Yes,14500000000,14.0,شادمهر
155,1390,3,Yes,Yes,Yes,27000000000,35.0,سعادت‌آباد
86,1398,2,Yes,Yes,Yes,5400000000,35.0,سلیمانی
450,1402,4,Yes,Yes,Yes,80000000000,2121.0,دریاچه شهدای خلیج فارس
85,1390,2,Yes,Yes,Yes,6100000000,29.0,چیتگر
150,1382,2,Yes,Yes,Yes,28500000000,35.0,جردن
65,1397,2,Yes,Yes,Yes,4250000000,44.0,افسریه
108,1399,2,Yes,Yes,Yes,12600000000,4.0,پونک
144,1390,3,Yes,Yes,Yes,11100000000,212.0,دریاچه شهدای خلیج فارس
57,1377,2,No,No,Yes,2980000000,4.0,جی
45,1396,1,No,Yes,Yes,1300000000,23.0,شهر زیبا
140,1380,2,Yes,Yes,Yes,15950000000,514.0,شهرک غرب
60,1386,1,No,No,Yes,3300000000,1.0,جوانمرد قصاب
126,1403,3,Yes,Yes,Yes,19950000000,5.0,هروی
52,1383,1,No,Yes,Yes,74038000,,سلسبیل
200,1400,3,Yes,Yes,Yes,280000000,,زعفرانیه
53,1398,1,No,Yes,Yes,1270000000,4.0,شهر زیبا
48,1385,1,No,Yes,Yes,62500000,,جیحون
85,1399,2,Yes,Yes,Yes,60000000,,استاد معین
130,1400,3,Yes,Yes,Yes,92307000,,حکیمیه
185,1402,3,Yes,Yes,Yes,72000000000,1.0,زعفرانیه
55,1387,2,No,Yes,Yes,80000000,,تهران‌سر
53,1397,1,Yes,Yes,Yes,2640000000,3.0,جیحون
65,1387,2,No,Yes,Yes,5650000000,24.0,جنت‌آباد شمالی
108,1390,2,No,Yes,No,7550000000,3.0,شهرک آزادی
71,1383,2,No,Yes,Yes,5800000000,44.0,مدائن
81,1402,2,Yes,Yes,No,4500000000,55.0,شادآباد
90,1403,2,Yes,No,Yes,2250000000,5.0,شهرک ابوذر
320,1375,2,No,Yes,No,3200000000,,شریف‌آباد
115,1385,3,Yes,Yes,Yes,14000000000,25.0,سیدخندان
60,1400,1,Yes,Yes,Yes,2400000000,24.0,استاد معین
58,1403,1,Yes,Yes,Yes,4390000000,24.0,نظام‌آباد
101,1390,2,Yes,Yes,Yes,98019000,,طرشت
64,1403,2,Yes,Yes,Yes,1920000000,3030.0,سرو آزاد
58,1383,1,No,Yes,Yes,4500000000,44.0,شهران جنوبی
122,1403,2,Yes,Yes,Yes,1750000000,1618.0,دریاچه شهدای خلیج فارس
193,1402,3,Yes,Yes,Yes,269430000,,نیاوران
65,1395,2,Yes,Yes,Yes,1650000000,2.0,سازمان آب
50,1385,1,No,Yes,Yes,68000000,,سلسبیل
112,1403,2,Yes,Yes,Yes,4000000000,5.0,قیام‌دشت
42,1380,1,No,No,Yes,59285000,,جیحون
85,1403,2,Yes,Yes,Yes,7225000000,36.0,تسلیحات
55,1380,1,No,No,Yes,2850000000,24.0,سلسبیل
145,1396,3,Yes,Yes,Yes,158000,,دریا
146,1381,3,Yes,Yes,Yes,28000000000,36.0,سعادت‌آباد
80,1399,2,Yes,Yes,Yes,146250000,,پونک
76,1398,1,Yes,Yes,Yes,6850000000,719.0,سرو آزاد
270,1397,4,Yes,Yes,Yes,180000000,,شهرک راه‌آهن
61,1392,2,Yes,Yes,Yes,109836000,,طرشت
64,1400,2,Yes,No,Yes,2000000000,2.0,مبارک‌آباد بهشتی
50,1391,1,Yes,Yes,Yes,3300000000,44.0,جی
78,1403,2,Yes,Yes,Yes,6750000000,1.0,سلسبیل
41,1402,1,Yes,Yes,Yes,1200000000,24.0,اندیشه (شهر زیبا)
134,1402,3,Yes,Yes,Yes,140298000,,شمس‌آباد
125,1403,3,Yes,Yes,Yes,13000000000,26.0,دکتر هوشیار
140,1403,3,Yes,Yes,Yes,23000000000,14.0,مدائن
112,1391,2,Yes,Yes,Yes,13000000000,15.0,مدائن
69,1399,1,Yes,Yes,No,4002000000,14.0,شهرک ولیعصر
66,1396,2,No,Yes,Yes,6900000000,34.0,پونک
90,1391,2,Yes,Yes,Yes,11500000000,44.0,هفت حوض
62,1386,1,No,Yes,Yes,3250000000,2.0,پیروزی
127,1403,2,Yes,Yes,Yes,8900000000,529.0,سرو آزاد
120,1403,2,Yes,Yes,Yes,24000000000,6.0,مرزداران
58,1402,1,Yes,Yes,Yes,2680000000,3.0,استاد معین
78,1387,2,Yes,Yes,Yes,105128000,,جنت‌آباد جنوبی
260,1402,3,Yes,Yes,Yes,100000000000,7.0,نیاوران
68,1382,2,No,Yes,Yes,5300000000,34.0,اندیشه (شهر زیبا)
100,1403,2,Yes,Yes,Yes,1200000000,818.0,چیتگر
84,1403,2,Yes,Yes,Yes,89880000,,تهرانپارس شرقی
125,1388,2,Yes,Yes,Yes,14800000000,3.0,پونک
168,1402,3,Yes,Yes,Yes,13500000000,1928.0,دریاچه شهدای خلیج فارس
188,1403,3,Yes,Yes,Yes,153191000,,نیلوفر
50,1403,1,Yes,No,Yes,3120000000,14.0,جیحون
101,1395,2,Yes,Yes,Yes,18900000000,35.0,سعادت‌آباد
135,1388,3,Yes,Yes,Yes,17000000000,55.0,سازمان آب
112,1386,3,Yes,Yes,Yes,11900000000,25.0,دریان‌نو
150,1394,3,Yes,Yes,Yes,17500000000,4.0,پونک
100,1395,2,Yes,Yes,Yes,118500000,,جنت‌آباد شمالی
157,1400,3,Yes,Yes,Yes,23000000000,4.0,پونک
88,1391,2,Yes,Yes,Yes,9370000000,45.0,جنت‌آباد جنوبی
59,1391,1,No,Yes,Yes,1550000000,2.0,اندیشه (شهر زیبا)
45,1403,1,Yes,Yes,Yes,800000000,720.0,چیتگر
180,1402,3,Yes,Yes,Yes,22500000000,411.0,حسین‌آباد
74,1394,1,Yes,Yes,Yes,7600000000,55.0,باغ فیض
125,1402,3,Yes,Yes,Yes,11250000000,45.0,پیروزی
195,1402,3,Yes,Yes,Yes,22500000000,611.0,حسین‌آباد
54,1383,1,Yes,Yes,Yes,7000000000,28.0,یوسف‌آباد
130,1393,3,Yes,Yes,Yes,19000000000,15.0,ظفر
170,1400,3,Yes,Yes,Yes,33300000000,35.0,ظفر
47,1403,1,Yes,Yes,Yes,95744000,,آذربایجان
60,1395,1,Yes,Yes,Yes,2900000000,35.0,نواب
98,1403,2,Yes,Yes,Yes,18500000000,14.0,شهرآرا
110,1402,2,Yes,Yes,Yes,25000000000,77.0,اراج
60,1397,2,Yes,Yes,Yes,1600000000,2.0,شهران جنوبی
145,1377,2,No,No,Yes,8590000000,14.0,حشمتیه
78,1403,2,Yes,No,Yes,8112000000,24.0,پرستار
100,1403,2,Yes,Yes,Yes,30000000,,چیتگر
76,1396,2,Yes,Yes,No,3550000000,14.0,گمرک
126,1400,2,Yes,Yes,Yes,10900000000,23.0,چیتگر
60,1376,1,No,No,No,3100000000,24.0,سلسبیل
50,1395,1,No,Yes,Yes,2500000000,23.0,تهران‌سر
45,1379,1,No,No,No,3000000000,4.0,آذربایجان
90,1393,2,Yes,Yes,Yes,9200000000,55.0,جنت‌آباد جنوبی
80,1398,3,Yes,Yes,Yes,6000000000,24.0,سلسبیل
70,1390,2,Yes,Yes,Yes,78571000,,سبلان
180,1403,3,Yes,Yes,Yes,58000000000,5.0,نیاوران
60,1375,1,No,No,No,3000000000,24.0,زنجان
118,1402,2,Yes,Yes,Yes,16000000000,3.0,پاسداران
103,1402,2,Yes,Yes,Yes,7250000000,3.0,سرتخت
150,1397,3,Yes,Yes,Yes,25000000000,36.0,ازگل
62,1393,1,Yes,Yes,Yes,4580000000,34.0,استاد معین
60,1400,2,Yes,Yes,Yes,2900000000,24.0,تهران‌سر
115,1399,2,Yes,Yes,Yes,14400000000,35.0,جنت‌آباد جنوبی
100,1403,2,Yes,Yes,Yes,6000000000,14.0,هوانیروز
84,1397,2,Yes,Yes,Yes,130833000,,جنت‌آباد جنوبی
142,1390,3,Yes,Yes,Yes,16500000000,45.0,مرزداران
128,1403,2,Yes,Yes,Yes,15300000000,35.0,شاهین
128,1403,2,Yes,Yes,Yes,11790000000,1.0,تهران‌سر
85,1403,2,Yes,Yes,Yes,158823000,,جنت‌آباد شمالی
180,1370,4,No,Yes,Yes,16500000000,1.0,یوسف‌آباد
84,1385,2,No,Yes,Yes,6950,44.0,مدائن
83,1396,2,Yes,Yes,Yes,8420000000,25.0,شهر زیبا
55,1393,2,Yes,No,Yes,2800000000,44.0,نواب
175,1401,3,Yes,Yes,Yes,34000000000,7.0,سعادت‌آباد
140,1392,3,Yes,Yes,Yes,14000000000,5.0,ابوذر (منطقه ۱۵)
63,1391,2,Yes,Yes,Yes,2180000000,14.0,شهر زیبا
80,1394,2,Yes,Yes,Yes,10600000000,55.0,جنت‌آباد جنوبی
115,1397,2,Yes,Yes,Yes,20000000000,16.0,محمودیه
60,1385,1,No,Yes,Yes,52500000,,جیحون
180,1402,3,Yes,Yes,Yes,39600000000,35.0,پاسداران
63,1384,1,No,No,Yes,3500000000,34.0,خانی‌آباد نو
288,1403,4,Yes,Yes,Yes,6330000000,1414.0,چیتگر
58,1370,1,No,No,Yes,39655000,,شهرک کیانشهر
108,1403,2,Yes,Yes,Yes,127777000,,دهکده المپیک
135,1402,3,Yes,Yes,Yes,260000000,,پاسداران
66,1391,2,Yes,Yes,Yes,8400000000,3.0,سعادت‌آباد
310,1394,4,Yes,Yes,Yes,324838000,,ولنجک
103,1403,2,Yes,Yes,Yes,9800000000,15.0,چیتگر
55,1398,1,Yes,Yes,Yes,2350000000,25.0,بریانک
167,1382,3,Yes,Yes,Yes,28990000000,24.0,شهرک غرب
60,1394,1,Yes,Yes,Yes,3950000000,34.0,هاشمی
278,1388,3,Yes,Yes,Yes,58000000000,6.0,حصار بوعلی
90,1399,2,Yes,Yes,Yes,4350000000,15.0,شادآباد
75,1385,2,Yes,Yes,Yes,150666000,,سعادت‌آباد
133,1395,2,Yes,Yes,Yes,25000000000,69.0,امانیه
58,1398,2,Yes,Yes,Yes,1820000000,2.0,مبارک‌آباد بهشتی
88,1390,2,Yes,No,Yes,5192000000,1.0,شهرک کیانشهر
58,1396,1,Yes,No,Yes,4880000000,44.0,هفت حوض
114,1385,3,Yes,Yes,Yes,11250000000,35.0,شهران شمالی
80,1403,2,Yes,Yes,Yes,18750000,,شهرک دانشگاه تهران
70,1380,2,No,No,Yes,4200000000,44.0,آذربایجان
87,1395,2,Yes,Yes,Yes,60000000,,دولت‌آباد
154,1403,3,Yes,Yes,Yes,28500000000,3.0,اباذر
57,1392,2,Yes,Yes,Yes,3600000000,44.0,بریانک
143,1395,3,Yes,Yes,Yes,36500000000,3.0,زعفرانیه
135,1403,3,Yes,Yes,Yes,5000000000,28.0,تهران‌سر
164,1402,3,Yes,Yes,Yes,26000000000,1.0,سازمان برنامه
125,1390,3,Yes,Yes,Yes,148000000,,ظفر
105,1403,2,Yes,Yes,Yes,1260000000,815.0,چیتگر
110,1391,2,Yes,Yes,Yes,16700000000,16.0,سعادت‌آباد
60,1403,1,Yes,Yes,Yes,6000000000,2.0,دکتر هوشیار
60,1403,2,Yes,Yes,Yes,96666000,,دکتر هوشیار
125,1382,3,Yes,Yes,Yes,14700000000,47.0,اختیاریه
115,1399,2,Yes,Yes,Yes,11399000000,35.0,جنت‌آباد مرکزی
111,1392,2,Yes,Yes,Yes,11100000000,45.0,تهرانپارس غربی
150,1372,3,Yes,No,Yes,15000000000,1.0,ونک
100,1402,2,Yes,Yes,Yes,200000000,,اختیاریه
120,1393,3,Yes,Yes,Yes,14500000000,14.0,جنت‌آباد مرکزی
105,1386,2,Yes,Yes,Yes,16600000000,1.0,سپهر
120,1388,3,Yes,Yes,Yes,107500000,,جنت‌آباد جنوبی
80,1375,2,No,Yes,Yes,100000000,,عباس‌آباد
58,1395,1,Yes,Yes,Yes,1490000000,2.0,اکباتان
55,1380,1,No,Yes,Yes,5450000000,3.0,ارم
44,1403,1,Yes,Yes,No,80000000,35.0,امام حسین(ع)
48,1390,1,Yes,No,Yes,2800000000,34.0,خاوران
56,1388,1,No,Yes,Yes,53571000,,هاشمی
80,1403,2,Yes,Yes,Yes,1200000000,1520.0,چیتگر
58,1383,1,Yes,Yes,Yes,5800000000,25.0,ارم
180,1390,3,Yes,Yes,Yes,24500000000,3.0,پاسداران
98,1397,2,Yes,Yes,No,10600000000,66.0,ایرانشهر
82,1387,2,Yes,Yes,Yes,6500000000,42.0,پیروزی
56,1392,2,No,No,Yes,2650000000,34.0,سلسبیل
50,1388,1,Yes,Yes,Yes,2600000000,45.0,نواب
148,1400,3,Yes,Yes,Yes,28120000000,35.0,یوسف‌آباد
72,1396,2,Yes,Yes,Yes,1900000000,2.0,اندیشه (شهر زیبا)
500,1403,4,Yes,Yes,Yes,125000000000,5.0,فرمانیه
90,1398,2,Yes,Yes,Yes,26000000,,مبارک‌آباد بهشتی
118,1400,2,Yes,Yes,Yes,14850000000,1.0,پونک
50,1395,1,Yes,No,Yes,59000000,,جی
118,1382,3,Yes,Yes,Yes,11500000000,35.0,حکیمیه
83,1402,2,Yes,Yes,Yes,5450000000,15.0,استاد معین
97,1402,2,Yes,Yes,Yes,7500000000,5.0,نظام‌آباد
122,1397,2,Yes,Yes,Yes,26000000000,3.0,قیطریه
55,1399,1,Yes,Yes,Yes,1300000000,24.0,اندیشه (شهر زیبا)
50,1395,1,Yes,No,Yes,3900000000,44.0,آذربایجان
150,1400,1,Yes,No,Yes,13000000000,,آذری
75,1383,2,No,No,Yes,3525000000,24.0,خانی‌آباد
55,1385,1,No,Yes,No,2700000000,2.0,نواب
64,1400,2,Yes,Yes,No,4050000000,45.0,صفا
174,1400,1,Yes,Yes,No,30000000000,5.0,جنت‌آباد جنوبی
215,1393,3,Yes,Yes,Yes,255813000,,سعادت‌آباد
87,1392,2,Yes,Yes,Yes,9100000000,45.0,سازمان برنامه
125,1400,3,Yes,Yes,No,9300000000,56.0,شهادت
120,1392,3,Yes,Yes,Yes,24100000000,55.0,سعادت‌آباد
180,1387,3,Yes,Yes,Yes,30000000000,5.0,فرمانیه
78,1395,2,Yes,Yes,Yes,63461000,,جیحون
235,1385,4,Yes,Yes,Yes,42000000000,3.0,دزاشیب
100,1391,2,Yes,Yes,Yes,17700000000,25.0,پاسداران
107,1393,2,Yes,Yes,Yes,14500000000,35.0,یوسف‌آباد
67,1384,2,Yes,Yes,Yes,5400000000,55.0,نبی اکرم(ص)
