area_sqm,building_year,num_rooms,has_elevator,has_parking,has_storage,price(in_toman),floor_number,district
82,1397,2,Yes,Yes,Yes,11700000000,35.0,پونک
62,1385,1,No,Yes,Yes,106451000,,شهرک پرواز
52,1379,1,No,No,Yes,2630000000,34.0,شهرک ولیعصر
70,1390,2,Yes,Yes,Yes,6750000000,5.0,تهرانپارس غربی
44,1392,1,Yes,No,Yes,2800000000,45.0,زنجان
70,1391,2,Yes,Yes,Yes,6750000000,45.0,جنت‌آباد مرکزی
90,1403,2,Yes,Yes,Yes,3000000000,4.0,نازی‌آباد
70,1378,1,No,No,Yes,4500000000,24.0,آهنگ
175,1396,3,Yes,Yes,Yes,24000000000,47.0,اختیاریه
52,1402,1,Yes,Yes,Yes,1520000000,3.0,اندیشه (شهر زیبا)
58,1398,1,Yes,No,Yes,1885000000,4.0,مبارک‌آباد بهشتی
80,1396,2,Yes,Yes,Yes,8000000000,24.0,ایران
117,1403,2,Yes,Yes,Yes,5400000000,1530.0,شریف
180,1403,3,Yes,Yes,Yes,24990000000,4.0,جنت‌آباد جنوبی
78,1399,2,Yes,Yes,Yes,9500000000,45.0,پونک
135,1397,3,Yes,Yes,Yes,62222000,,افسریه
60,1393,1,Yes,Yes,Yes,8000000000,25.0,پونک
123,1398,3,Yes,Yes,No,58943000,,شهرک کیانشهر
41,1390,1,Yes,No,Yes,70731000,,جیحون
2,1386,3,Yes,Yes,Yes,24500000000,,کامرانیه
67,1400,1,Yes,Yes,Yes,8100000000,55.0,پونک
66,1398,1,Yes,Yes,Yes,5020000000,55.0,مهرآباد جنوبی
109,1403,2,Yes,Yes,Yes,8150000000,88.0,تهران‌سر
100,1370,3,No,Yes,Yes,3700000,,صادقیه
127,1395,3,Yes,Yes,Yes,16300000000,35.0,شهرآرا
97,1395,2,Yes,No,Yes,9100000000,15.0,پونک
60,1382,1,No,No,No,43333000,,شهرک ولیعصر
59,1402,1,Yes,Yes,Yes,2280000000,25.0,بریانک
118,1389,2,Yes,Yes,Yes,114406000,,تهران‌ویلا
132,1399,3,Yes,Yes,Yes,20500000000,15.0,آسمان
148,1402,3,Yes,Yes,No,72000000,,شهرک شریعتی
71,1384,2,Yes,Yes,Yes,8400000000,15.0,شهرک نفت (منطقه ۵)
140,1403,3,Yes,Yes,Yes,25000000000,35.0,اختیاریه
62,1401,1,Yes,Yes,Yes,187096000,,گیشا (کوی نصر)
57,1388,2,No,Yes,Yes,3450000000,44.0,وحیدیه
169,1395,3,Yes,Yes,Yes,40000000000,45.0,زعفرانیه
185,1393,3,Yes,Yes,Yes,228648000,,نیاوران
36,1398,1,No,Yes,Yes,1350000000,,فردوسی
63,1396,1,Yes,Yes,Yes,1480000000,2.0,شهر زیبا
74,1398,2,Yes,Yes,Yes,2700000000,44.0,شهر زیبا
150,1403,3,Yes,Yes,Yes,26000000000,45.0,سازمان برنامه
180,1395,3,Yes,Yes,Yes,31000000000,55.0,اختیاریه
113,1386,2,Yes,Yes,Yes,11500000000,25.0,پونک
60,1403,1,Yes,Yes,Yes,400000000,1216.0,چیتگر
118,1398,2,Yes,Yes,Yes,10500000000,420.0,کوهک
240,1403,3,Yes,Yes,Yes,270833000,,پاسداران
55,1383,1,No,Yes,Yes,3685000000,2.0,فردوسی
102,1390,2,Yes,Yes,Yes,13800000000,3.0,عباس‌آباد
60,1384,2,No,Yes,Yes,54166000,,سلیمانی
48,1382,1,No,No,Yes,2700000000,4.0,بریانک
56,1401,1,Yes,Yes,Yes,2700000000,3.0,استاد معین
92,1400,2,Yes,No,No,5350000000,5.0,دولت‌آباد
110,1393,3,Yes,Yes,Yes,11600000000,38.0,شهر زیبا
94,1403,2,Yes,Yes,Yes,11800000000,6.0,سازمان برنامه
115,1402,2,Yes,Yes,Yes,104347000,,ستارخان
110,1403,2,Yes,Yes,Yes,10600000000,720.0,کوهک
129,1397,3,Yes,Yes,Yes,12500000000,25.0,سازمان برنامه
67,1397,2,Yes,No,Yes,54000,,خلیج فارس
110,1399,2,Yes,Yes,Yes,16000000000,4.0,هروی
140,1403,3,Yes,Yes,Yes,3780000000,1523.0,دریاچه شهدای خلیج فارس
97,1401,2,Yes,Yes,Yes,11800000000,3.0,هروی
180,1387,3,Yes,Yes,Yes,28000000000,15.0,نیاوران
180,1389,3,Yes,Yes,Yes,31900000000,25.0,نیاوران
81,1399,2,No,Yes,Yes,4450000000,1.0,اسکندری
300,1402,4,Yes,Yes,Yes,80000000000,4.0,میرداماد
68,1398,2,Yes,Yes,Yes,2244000000,1.0,مبارک‌آباد بهشتی
66,1392,2,Yes,No,No,3150000000,34.0,جوانمرد قصاب
50,1403,1,Yes,Yes,Yes,750000000,812.0,چیتگر
77,1390,2,Yes,Yes,Yes,39000000000,1.0,علی‌آباد
85,1398,2,Yes,Yes,Yes,1600000000,2.0,شریف‌آباد
64,1370,1,No,No,Yes,2550000000,2.0,کوثر
90,1395,2,Yes,Yes,Yes,10600000000,45.0,جنت‌آباد مرکزی
60,1385,1,Yes,Yes,Yes,200000000,,منیریه
63,1380,1,No,Yes,Yes,98412000,,باغ فیض
145,1400,3,Yes,Yes,Yes,23200000,35.0,هروی
140,1388,3,Yes,Yes,Yes,214285000,,پاسداران
60,1381,2,No,No,Yes,3500000000,310.0,تاکسیرانی
59,1394,1,Yes,Yes,No,2650000000,15.0,کاروان
80,1399,2,Yes,Yes,Yes,4500000000,34.0,جنت‌آباد شمالی
71,1398,2,Yes,Yes,No,59154000,,بیسیم
46,1392,1,Yes,No,Yes,3350000000,44.0,جیحون
135,1394,2,Yes,Yes,Yes,13500000000,15.0,المهدی
69,1397,1,Yes,No,Yes,4600000000,3.0,جیحون
125,1403,2,Yes,Yes,Yes,11250000000,45.0,دیلمان
80,1399,2,Yes,Yes,Yes,8800000000,55.0,سازمان برنامه
63,1393,2,Yes,Yes,Yes,1670000000,2.0,چیتگر
63,1403,2,Yes,Yes,Yes,98253000,,جیحون
50,1396,1,Yes,Yes,Yes,6900000000,4.0,ارم
98,1403,2,Yes,Yes,Yes,84183000,,جیحون
37,1385,2,No,No,Yes,2400000000,4.0,منیریه
72,1386,2,Yes,Yes,Yes,3800000000,35.0,هفت چنار
60,1381,2,No,No,Yes,3400000000,14.0,زنجان
119,1390,3,Yes,Yes,Yes,12500000000,35.0,ارم
50,1388,1,Yes,Yes,Yes,2600000000,45.0,نواب
116,1403,3,Yes,Yes,Yes,7200000000,55.0,استاد معین
83,1402,2,Yes,Yes,No,5500000000,15.0,استاد معین
39,1394,1,Yes,Yes,Yes,1410000000,46.0,چیتگر
70,1393,2,Yes,Yes,Yes,10500000000,44.0,پونک
98,1397,2,Yes,Yes,Yes,11950000000,25.0,جنت‌آباد جنوبی
154,1398,3,Yes,Yes,Yes,127597000,,جنت‌آباد مرکزی
174,1370,4,Yes,Yes,Yes,6000000000,55.0,نازی‌آباد
106,1401,2,Yes,Yes,Yes,10100000000,48.0,استخر
135,1385,3,Yes,Yes,Yes,17500000000,1.0,اختیاریه
124,1403,2,Yes,Yes,Yes,28000000000,3.0,اختیاریه
118,1402,2,Yes,Yes,Yes,17500000000,35.0,پونک
240,1403,3,Yes,Yes,Yes,67200000000,1.0,نیاوران
118,1385,2,Yes,Yes,Yes,12950000000,55.0,سازمان برنامه
55,1390,1,No,No,Yes,2600000000,24.0,زنجان
62,1400,1,Yes,No,Yes,2000000000,2.0,مبارک‌آباد بهشتی
87,1395,1,Yes,Yes,Yes,8700000000,35.0,بلوار کشاورز
62,1400,1,Yes,Yes,Yes,3750000000,55.0,جی
62,1393,2,Yes,Yes,Yes,10600000000,45.0,گیشا (کوی نصر)
135,1385,3,No,Yes,Yes,23500000000,1.0,دروس
113,1397,2,Yes,Yes,Yes,15900000000,45.0,یوسف‌آباد
45,1394,1,Yes,No,Yes,2700000000,44.0,هاشمی
125,1389,3,Yes,Yes,Yes,16500000000,45.0,یوسف‌آباد
95,1400,2,Yes,Yes,Yes,19900000000,56.0,جردن
90,1390,2,Yes,Yes,Yes,11700000000,45.0,پونک
64,1393,1,Yes,Yes,No,3500000000,35.0,شهرک فردوس
100,1395,2,Yes,Yes,Yes,105500000,,سازمان آب
50,1382,1,No,No,Yes,47000000,,امیر بهادر
96,1370,2,No,No,No,4000000000,33.0,دولت‌آباد
135,1383,2,Yes,Yes,Yes,16500000000,6.0,جردن
97,1403,2,Yes,Yes,Yes,0,,باغ خزانه
62,1393,2,Yes,No,No,96774000,,صاحب الزمان
45,1401,1,Yes,Yes,Yes,4100000000,24.0,دکتر هوشیار
55,1393,2,Yes,Yes,Yes,2350000000,14.0,اتابک
33,1397,1,Yes,Yes,Yes,1450000000,2.0,شهر زیبا
53,1385,1,Yes,Yes,Yes,6500000000,35.0,کوی فردوس
58,1400,1,Yes,Yes,No,4060000000,48.0,نازی‌آباد
80,1403,2,Yes,Yes,Yes,18750000,,تهران‌سر
6,1396,1,Yes,Yes,Yes,3000000000,44.0,زمزم
68,1400,2,Yes,Yes,Yes,1450000000,57.0,اندیشه (شهر زیبا)
49,1400,1,Yes,Yes,Yes,2370000000,24.0,آذربایجان
285,1403,4,Yes,Yes,Yes,83000000000,37.0,دروس
105,1400,2,Yes,Yes,Yes,214285000,,مرزداران
104,1390,2,Yes,Yes,Yes,10500000000,1.0,کوی فردوس
195,1399,3,Yes,Yes,Yes,32300000000,3.0,پاسداران
100,1393,2,Yes,Yes,Yes,230000000,,قیطریه
46,1399,1,Yes,Yes,Yes,9000000000,45.0,گیشا (کوی نصر)
140,1388,3,Yes,Yes,Yes,164285000,,دزاشیب
280,1402,4,Yes,Yes,Yes,79000000000,7.0,سعادت‌آباد
87,1384,2,Yes,Yes,Yes,109195000,,ستارخان
36,1383,1,No,No,Yes,71944000,,جیحون
82,1401,2,Yes,Yes,Yes,4250000000,1.0,زمزم
114,1397,2,Yes,Yes,Yes,7900000000,10.0,دریاچه شهدای خلیج فارس
57,1394,1,Yes,Yes,Yes,88596000,,دکتر هوشیار
174,1403,3,Yes,Yes,Yes,25850000000,35.0,جنت‌آباد جنوبی
150,1402,3,Yes,Yes,Yes,32100000000,25.0,ظفر
87,1403,2,Yes,Yes,Yes,60574000,,جی
150,1403,3,Yes,Yes,Yes,172000000,,پونک
145,1402,3,Yes,Yes,Yes,23000000000,4.0,هروی
200,1402,3,Yes,Yes,Yes,52000000000,35.0,جلفا
102,1400,2,Yes,Yes,Yes,4260000000,78.0,پونک
132,1402,3,Yes,Yes,Yes,14500000000,66.0,پرستار
86,1389,2,Yes,Yes,Yes,119186000,,پونک
78,1393,2,Yes,No,Yes,6750000000,25.0,مدائن
46,1383,1,No,Yes,Yes,2900000000,34.0,سلسبیل
44,1385,1,No,No,No,70454000,,پیروزی
117,1401,3,Yes,Yes,Yes,24500000000,16.0,میرداماد
86,1389,2,Yes,Yes,Yes,10200000000,25.0,کوی فردوس
75,1403,2,Yes,Yes,No,4500000000,15.0,بیسیم
70,1394,2,Yes,No,Yes,3850000000,55.0,فلاح
75,1386,2,No,No,No,80000000,,شیخ هادی
50,1400,1,Yes,No,No,80000000,,ارامنه
110,1403,2,Yes,Yes,Yes,500000000,3.0,خزانه
52,1398,1,Yes,Yes,Yes,1290000000,2.0,اندیشه (شهر زیبا)
163,1385,3,Yes,Yes,Yes,30000000000,2.0,پاسداران
120,1402,2,Yes,Yes,Yes,7950000000,2529.0,سرو آزاد
59,1394,1,Yes,Yes,Yes,2530000000,4.0,زمزم
116,1397,2,Yes,Yes,Yes,12500000000,55.0,شمس‌آباد
100,1403,2,Yes,Yes,Yes,3700000000,30.0,سرو آزاد
74,1398,2,Yes,Yes,Yes,2294000000,3.0,مبارک‌آباد بهشتی
75,1385,2,No,Yes,Yes,7650000000,25.0,مدائن
55,1390,1,Yes,No,Yes,41818000,,زمزم
73,1397,2,No,Yes,Yes,2200000000,23.0,اندیشه (شهر زیبا)
80,1395,2,No,Yes,Yes,2900000000,23.0,شهر زیبا
55,1385,1,Yes,Yes,Yes,202000,,میدان حر
162,1386,3,Yes,Yes,Yes,18500000000,68.0,حسین‌آباد
