area_sqm,building_year,num_rooms,has_elevator,has_parking,has_storage,price(in_toman),floor_number,district,district_encoded,price_standardized,building_age
58,1398,1,1,0,1,1885000000,4,مبارک‌آباد بهشتی,208,-0.7561257982938865,5
80,1396,2,1,1,1,8000000000,24,ایران,36,-0.33394462806685427,7
117,1403,2,1,1,1,5400000000,1530,شریف,143,-0.5134492957022236,0
180,1403,3,1,1,1,24990000000,4,جنت‌آباد جنوبی,68,0.8390493346735018,0
78,1399,2,1,1,1,9500000000,45,پونک,254,-0.2303842428926027,4
60,1393,1,1,1,1,8000000000,25,پونک,254,-0.33394462806685427,10
67,1400,1,1,1,1,8100000000,55,پونک,254,-0.3270406023885708,3
66,1398,1,1,1,1,5020000000,55,مهرآباد جنوبی,219,-0.5396845932797008,5
109,1403,2,1,1,1,8150000000,88,تهران‌سر,56,-0.3235885895494291,0
127,1395,3,1,1,1,16300000000,35,شهرآرا,149,0.23908950323067107,8
97,1395,2,1,0,1,9100000000,15,پونک,254,-0.2580003456057364,8
59,1402,1,1,1,1,2280000000,25,بریانک,43,-0.7288548968646669,1
132,1399,3,1,1,1,20500000000,15,آسمان,5,0.5290585817185754,4
71,1384,2,1,1,1,8400000000,15,شهرک نفت (منطقه ۵),167,-0.3063285253537205,19
140,1403,3,1,1,1,25000000000,35,اختیاریه,13,0.8397397372413302,0
57,1388,2,0,1,1,3450000000,44,وحیدیه,244,-0.6480777964287507,15
169,1395,3,1,1,1,40000000000,45,زعفرانیه,115,1.875343588983846,8
63,1396,1,1,1,1,1480000000,2,شهر زیبا,148,-0.7840871022909344,7
74,1398,2,1,1,1,2700000000,44,شهر زیبا,148,-0.6998579890158765,5
150,1403,3,1,1,1,26000000000,45,سازمان برنامه,121,0.9087799940241645,0
180,1395,3,1,1,1,31000000000,55,اختیاریه,13,1.2539812779383366,8
113,1386,2,1,1,1,11500000000,25,پونک,254,-0.09230372932693394,17
118,1398,2,1,1,1,10500000000,420,کوهک,263,-0.1613439861097683,5
55,1383,1,0,1,1,3685000000,2,فردوسی,195,-0.6318533360847846,20
102,1390,2,1,1,1,13800000000,3,عباس‌آباد,191,0.06648886127358514,13
48,1382,1,0,0,1,2700000000,4,بریانک,43,-0.6998579890158765,21
56,1401,1,1,1,1,2700000000,3,استاد معین,18,-0.6998579890158765,2
92,1400,2,1,0,0,5350000000,5,دولت‌آباد,111,-0.5169013085413654,3
110,1393,3,1,1,1,11600000000,38,شهر زیبا,148,-0.0853997036486505,10
94,1403,2,1,1,1,11800000000,6,سازمان برنامه,121,-0.07159165229208363,0
110,1403,2,1,1,1,10600000000,720,کوهک,263,-0.15443996043148486,0
129,1397,3,1,1,1,12500000000,25,سازمان برنامه,121,-0.023263472544099554,6
110,1399,2,1,1,1,16000000000,4,هروی,240,0.21837742619582076,4
140,1403,3,1,1,1,3780000000,1523,دریاچه شهدای خلیج فارس,105,-0.6252945116904154,0
97,1401,2,1,1,1,11800000000,3,هروی,240,-0.07159165229208363,2
180,1387,3,1,1,1,28000000000,15,نیاوران,236,1.0468605075898334,16
180,1389,3,1,1,1,31900000000,25,نیاوران,236,1.3161175090428876,14
81,1399,2,0,1,1,4450000000,1,اسکندری,20,-0.5790375396459163,4
68,1398,2,1,1,1,2244000000,1,مبارک‌آباد بهشتی,208,-0.7313403461088489,5
66,1392,2,1,0,0,3150000000,34,جوانمرد قصاب,74,-0.668789873463601,11
77,1390,2,1,1,1,39000000000,1,علی‌آباد,192,1.8063033322010116,13
85,1398,2,1,1,1,1600000000,2,شریف‌آباد,144,-0.7758022714769943,5
64,1370,1,0,0,1,2550000000,2,کوثر,262,-0.7102140275333017,33
90,1395,2,1,1,1,10600000000,45,جنت‌آباد مرکزی,70,-0.15443996043148486,8
60,1381,2,0,0,1,3500000000,310,تاکسیرانی,51,-0.644625783589609,22
59,1394,1,1,1,0,2650000000,15,کاروان,258,-0.7033100018550182,9
80,1399,2,1,1,1,4500000000,34,جنت‌آباد شمالی,69,-0.5755855268067746,4
46,1392,1,1,0,1,3350000000,44,جیحون,76,-0.6549818221070342,11
135,1394,2,1,1,1,13500000000,15,المهدی,23,0.045776784238734824,9
69,1397,1,1,0,1,4600000000,3,جیحون,76,-0.5686815011284911,6
125,1403,2,1,1,1,11250000000,45,دیلمان,113,-0.10956379352264253,0
80,1399,2,1,1,1,8800000000,55,سازمان برنامه,121,-0.27871242264058677,4
63,1393,2,1,1,1,1670000000,2,چیتگر,257,-0.7709694535021959,10
50,1396,1,1,1,1,6900000000,4,ارم,16,-0.4098889105279721,7
37,1385,2,0,0,1,2400000000,4,منیریه,218,-0.7205700660507268,18
72,1386,2,1,1,1,3800000000,35,هفت چنار,242,-0.6239137065547586,17
60,1381,2,0,0,1,3400000000,14,زنجان,117,-0.6515298092678924,22
119,1390,3,1,1,1,12500000000,35,ارم,16,-0.023263472544099554,13
50,1388,1,1,1,1,2600000000,45,نواب,235,-0.7067620146941599,15
116,1403,3,1,1,1,7200000000,55,استاد معین,18,-0.38917683349312177,0
83,1402,2,1,1,0,5500000000,15,استاد معین,18,-0.5065452700239402,1
39,1394,1,1,1,1,1410000000,46,چیتگر,257,-0.7889199202657329,9
70,1393,2,1,1,1,10500000000,44,پونک,254,-0.1613439861097683,10
98,1397,2,1,1,1,11950000000,25,جنت‌آباد جنوبی,68,-0.061235613774658464,6
174,1370,4,1,1,1,6000000000,55,نازی‌آباد,229,-0.472025141632523,33
106,1401,2,1,1,1,10100000000,48,استخر,19,-0.18896008882290208,2
135,1385,3,1,1,1,17500000000,1,اختیاریه,13,0.3219378113700723,18
124,1403,2,1,1,1,28000000000,3,اختیاریه,13,1.0468605075898334,0
118,1402,2,1,1,1,17500000000,35,پونک,254,0.3219378113700723,1
240,1403,3,1,1,1,67200000000,1,نیاوران,236,3.753238573476941,0
118,1385,2,1,1,1,12950000000,55,سازمان برنامه,121,0.007804643008175916,18
55,1390,1,0,0,1,2600000000,24,زنجان,117,-0.7067620146941599,13
62,1400,1,1,0,1,2000000000,2,مبارک‌آباد بهشتی,208,-0.7481861687638606,3
87,1395,1,1,1,1,8700000000,35,بلوار کشاورز,44,-0.2856164483188702,8
62,1400,1,1,1,1,3750000000,55,جی,75,-0.6273657193939004,3
62,1393,2,1,1,1,10600000000,45,گیشا (کوی نصر),274,-0.15443996043148486,10
135,1385,3,0,1,1,23500000000,1,دروس,102,0.7361793520670786,18
113,1397,2,1,1,1,15900000000,45,یوسف‌آباد,276,0.21147340051753732,6
45,1394,1,1,0,1,2700000000,44,هاشمی,239,-0.6998579890158765,9
125,1389,3,1,1,1,16500000000,45,یوسف‌آباد,276,0.25289755458723795,14
95,1400,2,1,1,1,19900000000,56,جردن,62,0.4876344276488749,3
90,1390,2,1,1,1,11700000000,45,پونک,254,-0.07849567797036706,13
64,1393,1,1,1,0,3500000000,35,شهرک فردوس,164,-0.644625783589609,10
96,1370,2,0,0,0,4000000000,33,دولت‌آباد,111,-0.6101056551981918,33
135,1383,2,1,1,1,16500000000,6,جردن,62,0.25289755458723795,20
45,1401,1,1,1,1,4100000000,24,دکتر هوشیار,112,-0.6032016295199083,2
55,1393,2,1,1,1,2350000000,14,اتابک,12,-0.7240220788898685,10
33,1397,1,1,1,1,1450000000,2,شهر زیبا,148,-0.7861583099944195,6
53,1385,1,1,1,1,6500000000,35,کوی فردوس,265,-0.43750501324110586,18
58,1400,1,1,1,0,4060000000,48,نازی‌آباد,229,-0.6059632397912217,3
68,1400,2,1,1,1,1450000000,57,اندیشه (شهر زیبا),33,-0.7861583099944195,3
49,1400,1,1,1,1,2370000000,24,آذربایجان,3,-0.7226412737542118,3
104,1390,2,1,1,1,10500000000,1,کوی فردوس,265,-0.1613439861097683,13
195,1399,3,1,1,1,32300000000,3,پاسداران,250,1.3437336117560212,4
46,1399,1,1,1,1,9000000000,45,گیشا (کوی نصر),274,-0.2649043712840199,4
82,1401,2,1,1,1,4250000000,1,زمزم,116,-0.5928455910024831,2
114,1397,2,1,1,1,7900000000,10,دریاچه شهدای خلیج فارس,105,-0.3408486537451377,6
174,1403,3,1,1,1,25850000000,35,جنت‌آباد جنوبی,68,0.8984239555067394,0
150,1402,3,1,1,1,32100000000,25,ظفر,189,1.3299255603994544,1
145,1402,3,1,1,1,23000000000,4,هروی,240,0.7016592236756615,1
200,1402,3,1,1,1,52000000000,35,جلفا,63,2.7038266703778584,1
102,1400,2,1,1,1,4260000000,78,پونک,254,-0.5921551884346549,3
132,1402,3,1,1,1,14500000000,66,پرستار,251,0.1148170410215692,1
78,1393,2,1,0,1,6750000000,25,مدائن,213,-0.4202449490453972,10
46,1383,1,0,1,1,2900000000,34,سلسبیل,129,-0.6860499376593095,20
117,1401,3,1,1,1,24500000000,16,میرداماد,224,0.805219608849913,2
86,1389,2,1,1,1,10200000000,25,کوی فردوس,265,-0.18205606314461864,14
75,1403,2,1,1,0,4500000000,15,بیسیم,50,-0.5755855268067746,0
70,1394,2,1,0,1,3850000000,55,فلاح,197,-0.620461693715617,9
52,1398,1,1,1,1,1290000000,2,اندیشه (شهر زیبا),33,-0.7972047510796729,5
163,1385,3,1,1,1,30000000000,2,پاسداران,250,1.184941021155502,18
120,1402,2,1,1,1,7950000000,2529,سرو آزاد,126,-0.33739664090599597,1
59,1394,1,1,1,1,2530000000,4,زمزم,116,-0.7115948326689583,9
116,1397,2,1,1,1,12500000000,55,شمس‌آباد,145,-0.023263472544099554,6
100,1403,2,1,1,1,3700000000,30,سرو آزاد,126,-0.630817732233042,0
